id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35413561,Romantic Nosadella - Mansarda nel Cuore di Bologna,14389783,Elena & Paolo,,Porto - Saragozza,44.49126,11.33616,Entire home/apt,147,2,248,2025-09-08,3.24,1,228,29,IT037006C2L6EB3ZAR
35448414,Frassinago Apartment: Elegante e confortevole,266730217,Patrizio,,Porto - Saragozza,44.49479,11.3335,Entire home/apt,142,2,49,2025-09-05,0.67,1,9,20,IT037006C22CGNXJH3
35539336,Raffinato appartamento in ex convento in S.STEFANO,173387983,Alessandra,,Santo Stefano,44.48607,11.35303,Entire home/apt,121,31,0,,,1,144,0,
35603755,"""Gold"" camera con bagno privato e self check in",103936621,Angelo,,Santo Stefano,44.50216,11.35039,Private room,100,1,104,2025-08-07,1.37,4,149,23,IT037006B48RO54V4B
35639678,"""Sunset"" camera con bagno privato e self check in",103936621,Angelo,,Santo Stefano,44.50216,11.35039,Private room,79,1,179,2025-09-05,2.36,4,134,23,IT037006B48RO54V4B
35641295,"""Green"" camera con bagno privato e self check in",103936621,Angelo,,Santo Stefano,44.50216,11.35039,Private room,80,1,163,2025-06-15,2.15,4,139,17,IT037006B48RO54V4B
35645364,"""Sugar"" camera con bagno privato e self check in",103936621,Angelo,,Santo Stefano,44.50216,11.35039,Private room,93,1,167,2025-09-18,2.20,4,152,15,IT037006B48RO54V4B
35675011,B&Bart #2: camera luminosa con bagno- in centro,44362944,Emanuela,,Santo Stefano,44.4893779,11.3489215,Private room,88,1,48,2025-09-13,2.61,4,129,29,IT037006C2STE9KKKH
35695054,"UGO BASSI APARTMENTS - Appartamento ""Pavaglione""",137475943,Giovanni,,Porto - Saragozza,44.49559,11.33887,Entire home/apt,142,1,9,2025-06-08,0.12,13,177,2,IT037006B4UL6EJ2S6
35702819,Belle Arti Gallery' House,107265770,Davide,,Santo Stefano,44.49853,11.34896,Entire home/apt,245,31,5,2023-03-21,0.12,1,63,0,
35753202,La casa di Frida : incantevole appartamento,118789561,Stefano,,Santo Stefano,44.49945,11.34933,Entire home/apt,110,2,207,2025-09-02,2.84,7,58,39,IT037006C2N7A45BXB
35768542,Camera con bagno 5 min dalla stazione centrale.,156570689,Flavio,,Porto - Saragozza,44.50341,11.33294,Private room,69,1,778,2025-09-21,10.24,1,302,138,IT037006C19BN8D5VL
35939124,"InPiazzaRoom
Camera indipendente con bagno privato",270323295,Ernesto,,Navile,44.512,11.34656,Private room,53,2,170,2025-09-20,2.25,1,208,27,IT037006B4DMPHPOM4
35965694,Bilocale in centro (City centre) via San Carlo,177655502,Nadia,,Porto - Saragozza,44.50042,11.3407,Entire home/apt,109,3,213,2025-07-06,2.82,1,4,16,IT037006C2VNZXABDS
36031106,Likehome,151259376,Antonio E Alessandra,,Porto - Saragozza,44.49775,11.32242,Entire home/apt,118,1,268,2025-08-08,3.70,2,37,47,IT037006C2ZZHA84GM
36063380,"Dimora Santo Stefano: Ampia, con Giardino privato",271295046,Patrizio,,Santo Stefano,44.48787,11.35078,Entire home/apt,431,2,47,2025-06-26,0.62,1,132,5,IT037006C2PSQHWAGZ
36097763,Massarenti  - Marcella Homes,271535181,Marcella,,San Donato - San Vitale,44.49324,11.36688,Entire home/apt,119,2,220,2025-09-17,3.13,3,222,39,IT037006B4JHOSAQGQ
